iter	Passed	Remaining
0	161	161695
1	168	84221
2	175	58240
3	181	45121
4	184	36783
5	187	31142
6	191	27222
7	194	24105
8	196	21669
9	199	19702
10	201	18091
11	203	16755
12	206	15652
13	208	14677
14	210	13795
15	212	13080
16	214	12427
17	217	11855
18	219	11357
19	222	10887
20	224	10465
21	226	10080
22	228	9722
23	231	9407
24	233	9117
25	236	8844
26	238	8591
27	240	8354
28	243	8138
29	245	7936
30	247	7744
31	250	7570
32	252	7402
33	255	7245
34	257	7094
35	259	6950
36	261	6816
37	264	6696
38	266	6576
39	269	6461
40	271	6355
41	274	6250
42	276	6151
43	278	6055
44	281	5967
45	283	5879
46	285	5783
47	287	5702
48	289	5627
49	292	5556
50	295	5490
51	297	5421
52	299	5356
53	302	5293
54	304	5229
55	306	5169
56	308	5110
57	311	5058
58	313	5004
59	316	4951
60	318	4901
61	320	4851
62	322	4802
63	325	4759
64	327	4717
65	330	4672
66	332	4628
67	334	4585
68	336	4543
69	339	4504
70	341	4467
71	343	4428
72	345	4392
73	348	4359
74	350	4325
75	352	4290
76	355	4257
77	357	4228
78	359	4196
79	362	4167
80	364	4137
81	367	4110
82	369	4081
83	371	4055
84	374	4029
85	377	4013
86	381	4000
87	384	3982
88	388	3979
89	391	3955
90	393	3933
91	396	3908
92	398	3885
93	400	3863
94	403	3840
95	405	3817
96	407	3796
97	409	3773
98	412	3750
99	414	3731
100	416	3711
101	418	3686
102	421	3672
103	424	3659
104	427	3647
105	430	3629
106	432	3612
107	436	3607
108	440	3598
109	442	3581
110	444	3562
111	447	3545
112	451	3545
113	454	3535
114	458	3527
115	460	3511
116	463	3495
117	468	3498
118	471	3488
119	473	3475
120	476	3460
121	478	3446
122	483	3446
123	487	3443
124	489	3427
125	492	3414
126	494	3399
127	499	3401
128	503	3399
129	505	3385
130	508	3371
131	510	3356
132	514	3354
133	516	3340
134	519	3326
135	521	3313
136	524	3301
137	527	3294
138	530	3285
139	533	3278
140	535	3265
141	538	3252
142	540	3238
143	542	3227
144	547	3227
145	550	3220
146	552	3208
147	555	3197
148	558	3190
149	563	3192
150	567	3191
151	570	3180
152	572	3170
153	577	3173
154	581	3171
155	584	3161
156	586	3150
157	589	3143
158	594	3145
159	598	3142
160	601	3132
161	603	3121
162	607	3121
163	610	3112
164	613	3107
165	616	3096
166	618	3085
167	621	3078
168	625	3075
169	628	3069
170	631	3059
171	633	3048
172	635	3040
173	640	3041
174	644	3036
175	646	3026
176	648	3016
177	651	3007
178	655	3007
179	659	3003
180	661	2993
181	663	2984
182	666	2976
183	671	2977
184	675	2975
185	678	2967
186	680	2960
187	685	2962
188	688	2955
189	691	2949
190	694	2939
191	696	2930
192	701	2932
193	704	2926
194	707	2920
195	709	2910
196	711	2901
197	716	2901
198	719	2894
199	722	2888
200	724	2879
201	726	2870
202	728	2861
203	733	2860
204	736	2856
205	739	2848
206	741	2839
207	743	2830
208	747	2829
209	750	2822
210	753	2817
211	755	2809
212	757	2800
213	761	2796
214	768	2806
215	771	2800
216	773	2792
217	776	2784
218	780	2784
219	784	2779
220	786	2771
221	788	2763
222	791	2756
223	797	2762
224	801	2761
225	804	2753
226	806	2746
227	810	2744
228	813	2739
229	816	2733
230	818	2726
231	821	2718
232	824	2712
233	828	2711
234	831	2706
235	833	2699
236	835	2691
237	838	2683
238	842	2683
239	846	2679
240	848	2673
241	851	2666
242	853	2658
243	858	2660
244	862	2657
245	864	2649
246	866	2642
247	869	2635
248	873	2634
249	876	2629
250	879	2624
251	881	2616
252	883	2609
253	886	2603
254	891	2604
255	894	2599
256	896	2593
257	899	2586
258	902	2581
259	905	2577
260	907	2570
261	910	2563
262	912	2556
263	914	2550
264	916	2543
265	920	2539
266	923	2536
267	926	2529
268	928	2523
269	930	2516
270	933	2510
271	937	2509
272	940	2505
273	942	2498
274	945	2491
275	947	2485
276	952	2486
277	955	2482
278	958	2477
279	961	2471
280	963	2465
281	967	2463
282	969	2456
283	971	2450
284	974	2443
285	976	2437
286	978	2431
287	981	2426
288	984	2423
289	987	2417
290	989	2411
291	992	2405
292	994	2398
293	998	2398
294	1001	2392
295	1003	2386
296	1005	2380
297	1007	2374
298	1010	2368
299	1013	2364
300	1015	2358
301	1017	2352
302	1019	2346
303	1022	2340
304	1024	2334
305	1026	2328
306	1030	2326
307	1033	2323
308	1036	2317
309	1038	2311
310	1040	2305
311	1044	2303
312	1046	2297
313	1049	2292
314	1051	2286
315	1053	2280
316	1055	2275
317	1059	2271
318	1061	2265
319	1063	2260
320	1066	2255
321	1068	2249
322	1070	2244
323	1073	2239
324	1076	2234
325	1078	2229
326	1080	2224
327	1082	2218
328	1085	2213
329	1087	2208
330	1090	2203
331	1094	2201
332	1096	2196
333	1099	2191
334	1101	2186
335	1103	2181
336	1108	2180
337	1110	2175
338	1113	2170
339	1115	2165
340	1118	2161
341	1121	2157
342	1123	2152
343	1126	2147
344	1128	2142
345	1130	2137
346	1133	2133
347	1137	2131
348	1141	2129
349	1144	2124
350	1146	2120
351	1148	2115
352	1152	2111
353	1157	2111
354	1164	2115
355	1168	2113
356	1177	2121
357	1181	2118
358	1189	2123
359	1194	2123
360	1197	2119
361	1202	2120
362	1207	2119
363	1210	2114
364	1213	2110
365	1218	2110
366	1225	2112
367	1227	2108
368	1231	2105
369	1235	2103
370	1239	2100
371	1241	2095
372	1243	2091
373	1246	2086
374	1249	2082
375	1253	2079
376	1255	2075
377	1258	2070
378	1260	2065
379	1264	2063
380	1267	2059
381	1271	2056
382	1273	2051
383	1275	2045
384	1277	2041
385	1282	2039
386	1285	2036
387	1288	2031
388	1290	2026
389	1292	2021
390	1297	2021
391	1301	2018
392	1303	2014
393	1307	2011
394	1312	2010
395	1315	2007
396	1320	2004
397	1323	2001
398	1330	2003
399	1335	2003
400	1339	2000
401	1344	2000
402	1348	1998
403	1351	1994
404	1354	1990
405	1360	1990
406	1364	1987
407	1366	1983
408	1369	1978
409	1371	1973
410	1376	1973
411	1381	1971
412	1383	1966
413	1386	1962
414	1391	1960
415	1394	1958
416	1399	1956
417	1402	1952
418	1407	1951
419	1411	1949
420	1414	1945
421	1417	1940
422	1421	1938
423	1423	1934
424	1427	1930
425	1429	1926
426	1432	1921
427	1435	1917
428	1438	1914
429	1441	1910
430	1443	1906
431	1446	1901
432	1448	1897
433	1453	1895
434	1456	1892
435	1459	1887
436	1461	1882
437	1463	1877
438	1467	1875
439	1470	1871
440	1474	1868
441	1476	1863
442	1478	1859
443	1483	1857
444	1485	1853
445	1489	1850
446	1492	1846
447	1495	1842
448	1499	1840
449	1503	1837
450	1506	1834
451	1509	1829
452	1512	1826
453	1515	1823
454	1519	1819
455	1521	1815
456	1524	1810
457	1528	1809
458	1531	1805
459	1535	1802
460	1537	1797
461	1539	1793
462	1544	1790
463	1547	1787
464	1550	1783
465	1552	1779
466	1554	1774
467	1557	1769
468	1561	1767
469	1564	1764
470	1566	1759
